id,2,3,4,5,6,7,8,9,10,11,total,success,user_id
1,"{""total"": 10, ""success"": 10}","{""total"": 15, ""success"": 10}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,25,20,1
2,"{""total"": 14, ""success"": 13}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,14,13,2
3,"{""total"": 14, ""success"": 10}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,14,10,3
4,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,0,4
5,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,0,5
6,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,0,6
7,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,7,7
26,"{""total"": 4, ""success"": 3}","{""total"": 2, ""success"": 2}","{""total"": 3, ""success"": 3}","{""total"": 3, ""success"": 3}","{""total"": 6, ""success"": 5}","{""total"":12, ""success"": 8}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,53,24,8
13,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 4, ""success"": 4}","{""total"": 2, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,11,6,9
18,"{""total"": 2, ""success"": 2}","{""total"": 5, ""success"": 4}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,12,6,10
21,"{""total"": 4, ""success"": 4}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,8,4,11
10,"{""total"": 0, ""success"": 2}","{""total"": 0, ""success"": 1}","{""total"": 0, ""success"": 1}","{""total"": 3, ""success"": 5}","{""total"": 2, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,15,11,12
8,"{""total"": 2, ""success"": 2}","{""total"":40, ""success"": 4}","{""total"": 3, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,15,7,13
,"{""total"": 0, ""success"": 8}","{""total"": 0, ""success"": 7}","{""total"": 0, ""success"": 6}","{""total"": 0, ""success"": 5}","{""total"": 0, ""success"": 4}","{""total"": 0, ""success"": 3}","{""total"": 0, ""success"": 2}","{""total"": 0, ""success"": 1}","{""total"": 0, ""success"": 0}",,0,0,14
17,"{""total"": 2, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 1}","{""total"": 1, ""success"": 1}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,6,4,15
22,"{""total"": 5, ""success"": 1}","{""total"": 1, ""success"": 1}","{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,9,3,16
25,"{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 3, ""success"": 2}","{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,8,4,17
28,"{""total"": 1, ""success"": 1}","{""total"": 1, ""success"": 1}","{""total"": 2, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,8,4,18
12,"{""total"": 2, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 3, ""success"": 2}","{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,10,5,19
16,"{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 2, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,3,1,20
23,"{""total"": 1, ""success"": 0}","{""total"": 12, ""success"": 8}","{""total"": 98, ""success"": 82}","{""total"": 36, ""success"": 23}","{""total"": 47, ""success"": 19}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,325,132,21
20,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 3, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 5, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,10,3,22
9,"{""total"": 3, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 2, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,7,3,23
19,"{""total"": 1, ""success"": 1}","{""total"": 4, ""success"": 4}","{""total"": 16, ""success"": 10}","{""total"": 2, ""success"": 2}","{""total"": 2, ""success"": 2}","{""total"": 8, ""success"": 3}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,54,22,24
11,"{""total"": 2, ""success"": 2}","{""total"": 3, ""success"": 2}","{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,10,5,25
29,"{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 7, ""success"": 3}","{""total"": 3, ""success"": 2}","{""total"": 6, ""success"": 2}","{""total"": 7, ""success"": 2}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,34,10,26
14,"{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 4, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,7,2,27
24,"{""total"": 11, ""success"": 9}","{""total"": 59, ""success"": 55}","{""total"": 18, ""success"": 16}","{""total"": 26, ""success"": 19}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,212,99,28
27,"{""total"": 0, ""success"": 0}","{""total"": 8, ""success"": 5}","{""total"": 16, ""success"": 10}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,38,15,29
30,"{""total"": 1, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,2,1,30
15,"{""total"": 0, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,1,31
